iter	Passed	Remaining
0	52	52571
1	53	26452
2	53	17743
3	53	13392
4	54	10775
5	54	9037
6	54	7799
7	55	6876
8	55	6145
9	56	5564
10	56	5091
11	57	4694
12	57	4359
13	57	4069
14	58	3818
15	58	3598
16	58	3405
17	59	3232
18	59	3078
19	59	2939
20	60	2814
21	60	2699
22	61	2593
23	61	2496
24	61	2407
25	62	2325
26	62	2249
27	62	2180
28	63	2116
29	63	2054
30	63	1997
31	64	1943
32	64	1893
33	64	1846
34	65	1801
35	65	1758
36	66	1719
37	66	1681
38	66	1646
39	67	1612
40	67	1580
41	67	1549
42	68	1519
43	68	1491
44	69	1464
45	69	1439
46	69	1414
47	70	1391
48	70	1368
49	70	1346
50	71	1325
51	71	1305
52	71	1285
53	72	1266
54	72	1248
55	73	1231
56	73	1214
57	73	1197
58	74	1182
59	74	1166
60	74	1151
61	75	1137
62	75	1124
63	75	1110
64	76	1096
65	76	1084
66	76	1071
67	77	1057
68	77	1045
69	77	1034
70	78	1023
71	78	1012
72	78	1002
73	79	992
74	79	982
75	80	973
76	80	964
77	80	955
78	81	946
79	81	937
80	81	929
81	82	920
82	82	912
83	82	904
84	83	895
85	83	888
86	83	879
87	84	872
88	84	865
89	84	858
90	85	852
91	85	845
92	86	838
93	86	832
94	86	826
95	87	820
96	87	814
97	87	808
98	88	802
99	88	796
100	88	791
101	89	783
102	89	778
103	89	773
104	90	768
105	90	763
106	90	758
107	91	753
108	91	748
109	91	743
110	92	738
111	92	734
112	92	729
113	93	725
114	93	721
115	94	716
116	94	712
117	94	708
118	95	704
119	95	700
120	95	696
121	96	692
122	96	687
123	96	683
124	97	679
125	97	675
126	97	672
127	97	667
128	98	664
129	98	661
130	99	657
131	99	654
132	99	651
133	100	648
134	100	645
135	101	641
136	101	638
137	101	634
138	101	631
139	102	628
140	102	625
141	103	622
142	103	619
143	103	616
144	104	613
145	104	611
146	104	608
147	105	605
148	105	602
149	105	599
150	106	597
151	106	594
152	106	591
153	107	589
154	107	586
155	107	584
156	108	581
157	108	579
158	109	576
159	109	574
160	109	571
161	110	569
162	110	567
163	110	564
164	111	562
165	111	560
166	111	557
167	112	555
168	112	553
169	112	551
170	113	549
171	113	547
172	114	545
173	114	542
174	114	540
175	115	539
176	115	537
177	115	535
178	116	533
179	116	531
180	116	528
181	117	526
182	117	524
183	117	523
184	118	521
185	118	519
186	118	517
187	119	515
188	119	513
189	120	511
190	120	509
191	120	508
192	121	506
193	121	505
194	121	503
195	122	501
196	122	499
197	122	497
198	123	496
199	123	494
200	124	492
201	124	491
202	124	489
203	125	488
204	125	486
205	125	485
206	126	483
207	126	482
208	126	480
209	127	479
210	127	477
211	128	476
212	128	474
213	128	473
214	129	472
215	129	470
216	129	468
217	130	467
218	130	465
219	131	464
220	131	463
221	131	461
222	132	460
223	132	458
224	132	457
225	133	456
226	133	454
227	133	453
228	134	452
229	134	450
230	135	449
231	135	448
232	135	446
233	136	445
234	136	444
235	136	442
236	137	441
237	137	440
238	137	438
239	138	437
240	138	436
241	138	435
242	139	433
243	139	432
244	140	431
245	140	430
246	140	429
247	141	428
248	141	426
249	141	425
250	142	424
251	142	423
252	142	422
253	143	420
254	143	419
255	144	418
256	144	417
257	144	416
258	145	415
259	145	414
260	145	412
