iter	Passed	Remaining
0	49	49704
1	50	25059
2	50	16851
3	51	12732
4	51	10257
5	52	8615
6	53	7615
7	54	6715
8	54	6014
9	55	5462
10	55	5000
11	56	4622
12	56	4293
13	56	4007
14	57	3772
15	57	3561
16	58	3378
17	58	3213
18	59	3062
19	59	2927
20	60	2801
21	60	2691
22	60	2588
23	61	2495
24	61	2407
25	62	2329
26	62	2255
27	63	2187
28	63	2123
29	63	2062
30	64	2007
31	64	1958
32	65	1911
33	65	1867
34	66	1824
35	66	1782
36	67	1744
37	67	1708
38	67	1674
39	68	1639
40	68	1613
41	69	1582
42	69	1554
43	70	1527
44	70	1499
45	71	1475
46	71	1451
47	72	1429
48	72	1408
49	72	1386
50	73	1365
51	73	1343
52	74	1323
53	74	1306
54	75	1290
55	75	1272
56	75	1255
57	76	1238
58	76	1224
59	77	1211
60	77	1198
61	78	1185
62	78	1170
63	79	1158
64	79	1146
65	80	1134
66	80	1121
67	80	1109
68	81	1098
69	81	1086
70	82	1076
71	83	1077
72	84	1067
73	84	1056
74	84	1047
75	85	1037
76	85	1028
77	86	1018
78	86	1009
79	87	1000
80	87	992
81	87	984
82	88	974
83	88	966
84	89	958
85	89	951
86	90	944
87	90	937
88	90	929
89	91	923
90	91	917
91	92	909
92	92	903
93	92	896
94	93	889
95	93	884
96	94	878
97	94	873
98	95	867
99	95	861
100	96	855
101	96	850
102	97	844
103	97	839
104	97	834
105	98	830
106	98	825
107	99	822
108	99	816
109	100	811
110	100	807
111	101	803
112	101	799
113	102	794
114	102	789
115	102	784
116	103	779
117	103	775
118	104	770
119	104	766
120	104	761
121	105	757
122	105	752
123	106	748
124	106	745
125	106	741
126	107	736
127	107	733
128	108	730
129	108	726
130	109	723
131	109	720
132	109	716
133	110	713
134	110	709
135	111	706
136	112	707
137	112	704
138	113	700
139	113	697
140	113	694
141	114	689
142	114	686
143	114	683
144	115	680
145	115	676
146	116	673
147	116	671
148	116	668
149	117	665
150	117	662
151	118	659
152	118	656
153	118	653
154	119	650
155	119	648
156	120	645
157	120	643
158	121	640
159	121	638
160	121	634
161	122	632
162	122	629
163	123	627
164	123	624
165	123	622
166	124	619
167	124	617
168	125	615
169	125	612
170	125	610
171	126	607
172	126	605
173	127	603
